Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
34,0,2,0
4,1,36,2
37,1,1,1
37,1,2,0
38,1,2,1
32,1,1,0
36,3,1,0
37,3,2,0
39,2,3,0
29,1,3,0
36,2,2,0
39,2,2,0
35,2,3,0
30,1,0,0
42,0,1,0
28,0,0,0
38,1,1,1
38,1,0,0
33,1,3,1
43,0,1,0
25,2,4,1
48,1,2,0
46,1,7,1
28,0,3,0
32,0,2,0
21,0,10,1
31,0,6,1
44,1,2,0
42,1,3,0
53,0,3,0
37,2,3,0
31,0,11,2
28,0,0,0
30,2,1,0
40,0,0,0
34,1,1,0
34,2,2,0
42,1,3,0
24,2,3,0
47,1,1,0
41,0,5,0
38,3,0,0
46,0,2,0
42,0,1,0
36,0,2,0
24,6,2,0
39,1,1,0
37,0,1,0
26,10,0,0
22,6,5,2
37,2,1,0
34,3,1,0
43,0,0,0
45,1,0,0
46,1,2,0
37,0,2,0
46,2,4,1
37,0,5,0
24,2,4,0
30,1,0,1
46,4,2,0
45,2,1,0
29,3,0,0
38,1,1,0
33,1,1,1
29,0,2,0
31,0,1,0
40,0,1,0
37,0,15,3
46,0,0,0
38,0,0,0
32,2,1,0
32,0,1,1
32,1,5,0
30,2,2,0
42,0,0,1
33,2,0,0
31,0,4,0
30,1,3,0
5,0,40,2
40,0,2,0
43,1,0,0
35,3,4,0
39,1,2,0
40,0,4,0
45,2,2,0
37,1,4,0
25,2,3,1
28,0,1,0
34,0,0,0
39,3,4,0
45,2,1,0
40,2,2,0
40,1,1,0
35,1,2,0
39,2,3,0
40,3,2,1
33,5,1,2
31,3,3,0
32,1,0,0
43,1,1,0
30,1,2,0
23,0,3,0
50,2,1,0
37,2,3,0
43,1,0,0
26,10,1,0
59,2,3,0
34,0,1,0
40,2,2,0
57,0,1,0
31,3,0,0
45,1,2,0
42,1,1,0
45,2,1,0
41,3,2,0
34,3,2,0
25,2,4,0
31,1,3,0
33,0,1,0
42,2,3,0
47,4,1,0
37,2,1,0
30,1,3,0
35,1,2,0
32,0,2,0
34,0,3,0
40,2,4,1
32,3,1,0
31,0,3,0
44,1,3,0
29,1,2,0
35,2,2,1
37,1,0,0
38,3,3,0
32,1,2,0
26,1,2,0
39,0,3,2
44,2,0,0
46,1,1,0
40,2,4,0
40,1,1,0
37,2,0,0
22,0,27,2
33,0,2,1
27,14,3,0
41,0,0,0
42,3,7,0
43,1,3,0
39,0,0,0
44,2,2,0
13,2,15,10
34,3,2,0
36,1,2,0
42,1,1,0
38,2,0,0
40,1,2,0
32,1,1,1
43,0,1,1
43,0,5,0
46,2,3,0
34,1,5,0
44,2,2,1
34,3,2,0
38,0,3,0
52,1,2,0
24,5,1,1
39,1,0,0
47,0,1,0
38,0,1,0
36,1,2,0
26,11,0,0
25,3,0,0
28,4,6,4
45,1,2,1
34,0,3,0
25,0,9,1
42,2,0,0
28,1,2,0
45,1,3,0
38,0,3,0
30,4,1,0
40,1,1,0
43,1,5,0
35,1,3,1
41,2,1,0
24,5,1,0
38,1,4,1
34,3,1,0
36,2,0,0
38,2,1,0
38,0,2,0
40,1,1,0
33,1,1,0
36,1,2,0
31,1,4,0
40,3,0,0
34,1,3,0
31,0,1,0
45,0,3,0
42,0,0,1
43,1,1,0
