Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
46,0,1,0
37,0,3,0
38,5,2,0
35,1,2,0
36,1,1,0
38,2,0,0
32,0,3,0
32,4,1,0
32,0,2,2
29,5,4,0
39,1,1,0
24,0,1,0
32,0,7,0
32,2,1,0
32,0,2,0
36,1,2,0
32,0,4,0
49,1,1,0
33,2,1,1
38,2,5,0
31,4,3,0
42,6,0,0
39,2,1,0
43,1,1,0
44,1,1,0
27,3,6,0
32,1,7,0
27,3,2,0
50,1,1,0
36,1,1,0
33,3,1,1
38,0,2,0
28,1,12,0
49,1,1,0
43,2,1,0
33,1,1,0
34,0,1,0
32,1,0,0
57,0,2,0
33,4,0,0
27,1,16,0
32,0,1,0
36,2,2,1
38,1,2,0
42,0,1,1
23,0,10,0
37,1,0,0
27,1,14,0
53,2,0,0
42,1,2,0
29,3,1,0
39,1,2,0
43,3,1,0
28,0,0,0
36,1,1,0
23,2,1,0
27,1,0,0
28,1,4,0
41,0,1,0
38,1,2,0
36,1,1,0
30,1,5,0
36,2,0,0
33,0,7,0
40,0,1,1
36,4,1,0
34,0,2,1
32,3,1,0
29,2,2,0
49,1,0,0
41,2,2,0
43,1,3,0
36,3,3,0
40,2,1,0
38,0,5,0
42,2,2,0
32,2,1,0
31,1,5,0
54,3,0,0
32,2,2,0
25,0,1,0
26,0,2,0
33,1,1,0
52,2,1,0
37,1,2,0
43,0,2,1
27,0,3,1
24,2,12,0
34,0,2,0
17,3,2,0
42,0,4,0
41,2,4,0
38,2,2,0
41,2,0,0
37,2,3,0
27,1,1,0
36,1,1,0
37,2,1,0
37,2,0,0
26,2,0,0
26,1,0,0
32,5,1,0
45,2,0,0
47,3,2,0
32,3,2,1
38,2,0,0
37,0,0,0
43,0,2,0
35,2,2,0
29,0,3,0
36,2,2,1
49,0,1,0
49,0,0,0
41,2,1,1
37,1,0,0
32,2,1,1
41,0,2,0
36,1,8,0
32,3,4,0
39,3,2,0
36,5,2,0
30,1,2,0
39,1,0,0
42,2,0,0
42,4,0,1
34,5,5,0
28,2,0,0
36,5,2,0
47,0,0,0
25,0,0,1
41,0,2,0
40,1,6,0
43,0,3,0
33,4,1,0
35,1,1,0
33,0,1,0
23,0,6,0
36,1,1,0
43,3,0,0
42,0,2,0
30,1,0,0
39,1,1,0
39,1,1,1
34,0,1,1
30,1,7,0
36,1,2,1
32,2,3,0
37,0,4,0
23,0,10,1
27,1,9,0
38,4,0,0
25,1,3,0
43,0,2,0
36,1,0,0
42,2,5,0
40,2,2,1
41,0,1,0
47,3,1,0
33,0,2,0
41,2,1,0
36,3,1,0
37,2,2,0
39,0,2,0
35,0,2,0
29,2,7,0
38,3,2,0
33,0,2,0
29,0,1,1
26,0,0,0
39,0,2,0
43,0,1,0
40,0,2,0
