Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
47,4,2,1
37,3,0,0
29,2,1,0
34,3,1,0
25,1,3,0
25,2,0,0
47,1,1,0
52,2,1,0
60,2,0,0
56,1,0,0
36,0,0,0
30,1,0,0
43,3,1,0
9,24,2,0
38,0,1,0
34,1,0,0
35,1,0,0
37,1,0,0
47,4,2,0
37,2,5,0
45,3,1,0
37,1,1,0
29,5,1,0
40,2,0,0
31,3,6,2
37,1,0,1
43,0,0,0
31,2,8,0
30,9,0,2
31,2,1,0
32,2,2,0
37,1,0,0
33,0,7,0
34,2,3,0
51,3,2,0
28,8,3,1
40,2,3,0
36,0,1,0
37,2,3,0
54,3,1,0
38,0,1,0
44,0,4,1
41,1,0,0
41,0,0,0
28,13,0,1
35,1,2,1
30,1,0,0
46,1,1,0
47,2,7,1
42,2,2,0
45,1,2,0
42,2,0,0
38,1,1,0
34,3,1,0
35,3,2,0
34,1,7,0
40,1,0,0
32,17,0,0
36,1,0,0
34,4,1,0
42,4,1,0
42,1,1,0
36,1,1,0
46,2,1,0
32,16,0,1
41,1,4,0
35,2,0,0
24,1,1,0
37,4,0,0
39,3,0,1
36,1,2,0
38,2,0,0
34,2,1,0
32,3,1,0
31,3,2,0
33,1,0,0
45,3,1,0
35,0,1,1
38,1,0,0
28,0,0,0
31,5,2,1
33,0,1,0
39,3,1,0
30,1,1,0
37,2,4,0
45,1,1,0
38,1,3,0
43,3,1,0
45,2,1,0
32,3,0,0
33,2,0,0
43,0,1,0
27,1,4,1
35,0,1,0
34,0,12,1
39,2,0,1
45,0,1,0
29,2,13,1
31,0,0,0
37,0,1,1
41,3,1,0
42,0,1,0
45,2,1,0
30,1,1,0
32,2,1,0
32,3,0,0
23,2,3,0
24,0,0,0
43,2,2,1
35,2,1,0
33,1,0,0
47,3,2,0
31,0,6,0
43,3,1,0
32,1,2,0
53,1,2,0
42,1,2,0
28,2,2,0
37,1,1,0
35,2,0,0
39,1,0,0
30,3,2,0
34,3,0,0
40,1,1,1
37,3,4,0
41,2,2,1
25,19,0,0
41,0,0,1
41,2,1,0
32,2,0,0
39,2,1,0
30,3,0,0
37,1,0,0
46,4,0,0
41,2,0,0
38,0,1,0
33,1,3,0
36,3,0,0
37,0,1,0
49,3,0,0
29,0,1,0
36,0,2,0
39,2,0,0
35,2,1,0
28,1,0,0
42,2,1,0
28,1,1,0
40,2,0,2
36,1,8,2
31,1,1,0
29,1,5,0
45,4,1,0
30,2,2,0
36,1,0,0
53,1,0,0
52,0,1,1
42,1,2,0
38,0,0,0
39,1,3,0
38,3,3,0
27,1,2,0
34,0,0,0
38,2,1,1
28,3,0,0
38,2,0,0
38,2,3,0
32,3,2,0
33,0,0,0
39,0,1,1
29,1,1,0
35,4,1,0
45,4,1,0
27,1,1,1
24,2,1,0
24,2,2,0
39,1,3,0
33,3,0,0
42,0,1,1
35,1,2,0
37,0,0,0
39,0,1,0
30,2,0,0
30,12,1,0
36,1,0,0
25,2,2,0
35,6,2,0
36,4,0,0
35,2,5,0
11,36,0,0
26,2,0,1
37,1,1,0
25,3,0,0
33,0,2,0
39,0,2,0
36,1,1,0
42,2,1,0
35,3,0,0
46,2,3,0
32,1,3,0
29,2,1,0
28,2,3,0
36,2,2,0
37,2,1,0
31,3,2,0
27,0,0,0
32,0,2,0
30,1,2,0
37,3,0,1
41,4,2,1
21,1,4,1
38,4,2,0
37,3,0,0
29,1,1,1
37,0,0,1
27,8,2,1
36,13,1,0
32,2,1,0
48,1,1,0
34,2,2,0
33,2,10,0
34,1,2,0
51,1,1,0
36,2,1,0
26,9,2,3
42,4,2,0
31,4,0,0
