Per_Gene_Counts_Unaffected_Unaffected,Unaffected_Affected,Affected_Unaffected,Affected_Affected
38,1,2,0
36,0,3,1
26,0,9,3
21,2,1,0
37,3,0,2
41,1,1,0
33,1,0,0
33,3,9,0
36,2,0,0
32,5,2,1
32,1,1,0
34,1,0,1
43,0,1,0
31,3,0,0
40,3,1,2
29,2,2,0
39,1,1,1
37,3,4,0
34,0,1,0
24,0,3,0
43,0,5,0
37,2,3,2
47,2,4,0
28,2,0,0
35,3,0,0
31,3,0,0
39,0,2,0
28,1,3,0
38,1,2,0
42,2,0,0
44,5,2,0
51,3,1,0
33,0,0,0
33,1,1,0
36,1,1,0
37,5,1,1
45,6,1,1
29,6,1,0
39,3,0,0
40,3,1,0
40,5,0,0
26,0,2,0
40,2,1,0
31,1,0,0
25,1,0,0
39,2,1,0
30,0,4,1
29,4,1,0
31,2,1,0
42,1,2,0
36,4,0,0
36,0,2,0
34,2,1,0
24,4,2,0
47,2,1,0
38,1,1,0
38,2,1,0
33,1,3,0
37,5,1,0
35,2,1,0
37,2,1,0
33,1,1,1
36,0,2,0
43,1,0,0
31,0,0,0
32,0,5,0
29,2,0,0
30,0,1,0
34,1,2,2
35,0,3,0
32,0,0,0
35,0,1,0
47,5,0,1
37,0,2,0
28,1,6,0
37,0,1,0
32,6,2,0
41,0,1,0
40,2,1,0
33,0,2,0
20,2,3,0
37,2,6,1
37,1,1,0
30,1,3,0
33,2,3,0
34,0,4,1
49,0,1,0
36,0,12,1
35,2,9,1
36,3,3,1
31,0,2,0
40,3,1,0
40,2,5,1
39,0,6,3
45,2,1,0
26,3,5,1
30,0,1,0
23,3,4,0
26,4,0,0
40,6,0,1
39,0,10,0
39,0,0,0
31,2,0,0
22,5,0,0
35,0,1,0
30,6,0,0
39,6,1,2
31,2,0,1
38,0,1,0
32,0,0,0
33,7,8,0
32,1,1,1
34,4,1,1
36,7,1,1
37,0,0,0
45,1,1,1
34,5,2,1
38,5,1,1
25,2,6,3
37,2,1,0
38,0,2,0
32,3,0,1
37,2,0,1
29,0,1,1
39,4,0,1
35,4,3,0
31,11,0,0
40,1,1,0
38,0,2,0
28,0,5,2
52,1,1,0
34,0,2,0
38,2,0,0
34,4,3,0
41,3,7,0
34,0,7,1
31,3,0,0
50,0,0,0
28,2,6,1
38,1,1,0
33,2,2,4
23,3,3,3
24,0,0,0
36,1,1,1
39,2,2,0
41,1,0,1
29,1,1,0
34,1,2,0
37,0,2,0
37,0,0,0
44,0,0,1
43,3,0,1
29,1,3,2
37,1,3,0
37,2,9,0
33,4,1,0
45,5,3,0
42,1,2,0
35,7,0,0
38,0,5,0
36,2,2,0
38,2,2,0
46,1,1,0
36,0,7,1
46,2,0,0
30,0,16,0
32,2,4,0
47,2,2,0
38,1,3,1
44,2,1,0
50,1,5,0
33,0,1,0
37,0,2,1
38,2,1,2
27,0,0,0
40,0,2,0
38,0,3,1
26,4,1,0
40,1,5,0
26,5,9,2
33,1,8,3
34,0,1,1
31,3,0,1
42,2,1,0
34,3,0,0
35,1,1,0
54,2,0,0
32,3,5,3
31,4,2,0
42,0,1,0
34,0,1,0
34,1,3,0
40,1,3,0
46,2,1,0
34,3,8,2
44,4,5,1
41,1,0,0
29,1,0,2
37,1,2,0
38,5,1,0
53,1,2,0
40,2,3,0
33,0,1,0
32,4,1,0
34,1,0,2
44,0,2,0
26,0,4,0
32,2,2,0
38,9,2,1
49,3,0,0
42,0,3,0
40,2,1,1
22,3,0,0
37,0,0,0
44,0,1,0
42,1,1,0
30,3,2,1
36,3,1,1
22,1,0,0
39,0,0,0
39,2,1,2
34,1,5,2
35,3,4,0
38,0,0,0
37,2,2,1
29,5,0,1
29,4,3,0
50,0,1,1
31,4,4,4
34,3,0,2
44,6,2,0
35,1,2,1
35,0,0,0
32,1,1,2
44,0,1,1
30,0,0,0
30,3,4,2
30,0,5,0
34,1,2,0
39,1,1,0
24,4,6,4
30,0,1,1
49,0,2,1
40,1,1,0
31,3,4,2
35,4,1,0
36,0,4,0
25,0,8,2
30,1,9,1
37,1,1,0
40,0,0,0
43,0,0,0
31,2,0,0
35,3,4,2
39,0,1,0
47,1,1,0
43,0,1,0
38,4,1,0
43,3,2,1
32,1,2,0
33,6,1,0
37,1,0,0
40,2,3,1
44,1,1,0
43,2,3,0
32,1,4,0
35,3,1,0
37,1,2,0
36,0,4,1
46,5,0,0
39,0,1,1
35,2,0,1
24,5,1,1
25,2,4,0
28,0,1,0
31,3,1,0
32,1,4,1
42,0,0,0
41,3,2,0
35,0,3,2
39,6,3,4
26,5,0,2
47,1,2,0
39,0,3,0
32,2,2,1
32,0,0,0
39,2,1,0
30,4,5,2
32,6,0,1
38,0,0,0
32,2,8,0
32,3,0,1
40,1,5,1
34,6,2,0
37,1,1,0
37,1,1,2
24,6,4,4
39,0,2,1
32,1,3,0
26,2,7,2
32,0,0,0
34,1,1,0
36,0,0,0
36,0,2,0
33,0,4,1
37,2,2,0
26,0,1,0
37,2,1,0
45,1,1,0
43,2,1,0
43,1,1,0
35,1,1,0
43,2,0,1
44,1,1,1
27,5,2,0
40,0,1,0
41,2,0,0
31,4,5,2
37,0,2,1
33,2,3,0
23,4,3,1
35,1,2,0
31,1,3,1
49,1,1,1
39,0,0,0
30,2,1,0
30,1,1,0
36,2,3,0
33,0,2,0
45,2,2,0
27,0,2,0
33,3,5,2
36,2,13,2
53,2,1,0
43,2,1,0
36,3,1,0
39,3,1,0
44,2,1,0
38,0,1,1
37,10,0,1
32,4,1,1
42,2,1,0
23,2,6,1
32,4,1,0
39,3,1,0
33,1,1,0
32,4,1,0
23,2,14,2
25,1,6,1
23,3,10,3
42,0,0,1
37,2,2,0
43,1,7,0
31,3,0,0
42,3,0,0
27,0,4,0
42,3,2,0
33,0,1,0
42,0,1,1
33,2,0,0
41,1,3,0
42,2,1,0
32,6,0,0
36,0,1,0
41,0,2,0
34,1,2,0
31,1,0,0
35,2,2,1
46,0,9,0
34,7,1,0
39,2,1,0
39,3,0,0
38,4,2,0
28,0,1,0
33,1,1,0
31,2,1,0
26,3,0,0
36,0,0,1
34,0,2,0
45,0,5,0
46,8,0,0
45,1,1,0
26,0,1,0
43,1,1,1
42,0,3,0
50,0,2,0
36,4,0,0
46,3,2,1
32,0,1,0
37,0,2,0
46,4,0,2
48,1,0,0
44,3,1,2
38,1,2,0
34,2,4,0
35,1,0,0
31,5,9,0
34,0,2,0
39,2,1,0
34,0,0,0
42,1,1,1
37,3,7,0
35,1,1,0
37,1,1,0
45,1,4,0
31,3,1,0
38,0,1,1
45,0,4,0
39,2,0,0
40,3,2,0
49,0,6,0
39,2,1,0
40,2,4,0
39,3,2,1
34,0,0,0
33,0,4,0
47,0,1,0
32,1,0,0
31,1,7,0
43,3,2,0
37,0,1,0
42,2,2,0
42,1,0,0
26,3,3,2
25,0,5,0
34,1,4,0
34,1,1,0
32,5,3,1
42,0,0,0
32,1,0,0
26,1,12,0
38,3,0,0
34,3,5,2
37,1,3,0
47,1,3,0
41,2,1,0
29,1,8,2
41,0,1,0
31,1,4,2
35,0,0,0
39,1,3,4
48,2,2,1
35,0,1,0
36,3,1,0
33,1,1,0
34,2,1,2
43,0,1,0
32,1,1,0
33,5,0,3
32,7,0,2
17,4,7,1
37,0,2,0
34,1,1,3
34,1,2,0
38,4,2,3
30,1,1,1
24,1,6,1
30,2,1,0
42,2,0,0
36,0,1,1
46,1,1,0
35,2,5,0
37,0,4,0
29,3,2,1
51,1,2,0
22,5,2,0
49,0,2,0
33,4,4,0
30,4,0,0
27,4,0,0
29,1,10,0
37,1,4,0
45,2,2,0
41,5,2,0
37,2,2,0
23,2,3,1
45,1,2,1
31,7,0,1
35,0,5,0
39,7,1,3
31,5,1,3
41,2,1,0
33,5,1,0
34,0,2,0
41,2,0,1
20,4,5,1
38,5,7,2
30,0,0,0
46,1,2,1
45,2,2,3
42,3,2,0
37,0,0,0
32,3,5,0
31,1,1,0
44,0,2,1
35,6,1,0
45,4,0,1
23,14,0,0
39,3,1,1
43,0,2,0
41,0,0,1
38,1,1,0
41,0,0,0
36,0,3,0
35,2,0,0
46,0,2,0
32,0,1,0
39,1,1,1
29,14,1,1
35,0,2,1
42,4,6,2
36,2,0,0
50,3,2,0
38,6,4,1
39,0,2,0
46,0,0,0
36,1,4,1
37,2,0,2
29,1,0,1
40,1,3,0
35,1,2,1
37,1,1,0
43,2,1,1
36,1,1,0
42,5,2,0
31,1,2,0
31,0,1,0
27,0,3,0
35,3,1,0
35,0,1,0
45,1,2,3
33,0,1,0
40,0,3,0
25,10,1,1
24,2,1,0
45,0,0,0
33,1,1,0
31,2,2,0
56,2,5,0
30,4,1,0
30,2,1,1
25,3,0,2
27,1,8,1
32,0,1,0
37,1,3,1
41,2,0,0
37,0,1,0
36,1,4,0
33,2,4,0
33,0,1,0
27,1,4,0
36,1,1,0
41,1,0,0
33,0,1,1
40,1,1,1
34,2,1,0
34,2,1,2
24,7,3,2
28,0,6,0
50,4,1,1
35,4,7,1
38,0,6,0
37,0,1,0
28,3,0,0
43,1,0,0
23,0,4,0
35,0,4,0
37,3,0,3
39,3,2,0
44,1,1,0
37,3,3,0
36,2,0,0
27,1,2,0
30,0,1,1
31,6,0,0
37,6,1,1
31,3,1,1
44,2,0,0
43,0,0,1
32,1,2,0
35,0,1,0
38,0,1,0
33,1,1,1
35,0,0,0
24,5,4,1
37,0,0,0
30,6,3,5
23,8,2,3
41,1,0,0
34,1,0,0
37,2,1,0
47,0,0,0
40,1,0,0
38,2,1,0
37,0,9,1
31,0,1,1
30,1,1,1
28,8,7,0
37,1,2,0
43,0,1,0
31,2,1,0
22,0,4,0
37,1,2,0
39,1,3,1
47,0,2,0
39,1,0,0
42,0,0,0
35,1,0,0
27,1,9,1
29,3,5,0
23,2,1,0
39,1,1,0
49,0,5,1
44,2,1,2
42,4,2,0
32,4,0,0
53,2,6,2
36,1,3,1
38,1,0,0
33,0,1,0
28,1,4,0
39,0,2,0
35,2,6,1
35,0,1,0
27,0,0,0
24,2,7,1
40,1,1,1
45,2,0,1
36,0,0,1
35,2,1,0
34,0,0,0
31,3,1,0
41,1,0,0
39,4,0,0
32,4,1,0
40,0,1,0
30,2,0,0
39,1,0,0
39,1,2,0
37,3,3,0
23,5,2,0
38,1,3,0
29,2,1,1
40,1,0,0
32,0,1,0
34,1,1,0
39,1,4,0
36,4,3,0
41,1,1,0
35,3,0,2
30,3,2,2
35,0,0,0
38,0,2,0
33,0,1,1
47,5,0,0
44,1,2,0
35,0,3,2
34,0,1,1
33,2,5,1
35,6,3,3
30,1,5,1
38,0,1,0
29,2,1,0
31,7,0,0
29,2,0,0
41,1,2,0
36,2,0,1
24,4,2,1
42,2,1,0
39,0,0,0
27,1,5,2
24,3,4,1
37,2,7,1
33,11,0,0
41,10,0,1
43,4,1,0
26,10,0,0
33,3,2,1
32,0,4,2
29,7,4,1
27,0,2,1
46,6,1,1
42,2,3,0
30,1,1,0
42,1,0,0
30,2,2,1
24,2,0,0
34,1,0,1
38,1,0,0
35,1,0,0
44,2,2,0
32,0,7,0
34,1,1,0
43,2,1,2
40,0,3,0
32,1,2,0
45,1,2,0
43,1,1,0
35,1,0,0
26,1,5,0
37,4,4,0
50,0,4,2
38,2,7,4
28,5,0,0
30,0,1,0
45,2,0,1
26,0,7,1
34,0,2,0
31,0,2,0
41,0,2,0
30,1,0,0
40,3,2,0
36,6,3,0
34,3,0,0
41,1,1,0
44,2,0,0
28,10,0,0
38,1,4,0
34,4,0,1
31,4,1,0
42,4,1,1
37,0,0,0
52,2,2,1
31,2,0,0
32,2,1,2
44,2,2,0
39,4,1,0
38,0,0,0
36,0,0,0
20,3,5,0
32,3,0,1
34,1,3,3
37,2,2,1
29,0,2,0
40,0,0,0
46,0,1,0
37,1,2,0
37,0,2,0
34,3,2,0
36,0,0,1
32,6,0,1
31,0,0,0
31,2,2,0
39,0,4,0
33,3,3,0
47,3,1,0
37,2,0,1
31,2,2,1
33,2,2,0
32,2,2,1
38,2,4,0
41,5,0,0
38,1,0,1
31,4,2,1
35,0,2,1
30,2,4,0
44,2,1,0
36,5,5,0
44,2,1,0
38,1,2,0
34,1,2,0
41,1,4,0
35,0,0,1
28,1,6,1
46,1,2,0
44,2,1,0
27,2,0,0
37,2,3,0
27,0,8,0
33,6,3,0
31,2,0,0
34,1,6,0
31,7,0,0
36,2,1,0
39,1,4,2
36,2,3,0
28,3,4,2
47,2,0,0
32,4,1,0
30,0,1,0
38,5,1,0
29,6,0,0
36,1,0,0
28,2,5,0
29,5,2,3
41,1,2,3
35,3,0,0
35,3,0,1
28,4,1,1
32,4,3,0
28,3,2,1
34,2,3,0
44,2,0,0
27,4,1,0
39,0,2,1
50,0,4,1
35,0,4,1
33,6,0,1
20,3,5,0
42,1,3,0
34,0,0,0
36,5,1,0
35,0,2,1
27,0,5,0
38,1,1,0
40,2,1,1
29,1,0,0
30,4,0,0
37,6,1,2
32,2,2,1
26,4,1,2
40,1,4,3
37,1,1,0
42,2,1,0
51,4,2,2
41,1,0,0
28,3,0,0
29,2,7,2
39,0,0,0
46,0,2,0
31,1,4,0
33,7,0,1
25,4,0,0
37,0,0,0
31,2,1,1
28,1,6,0
24,1,2,0
47,1,0,0
32,0,1,0
26,3,2,0
43,0,1,0
42,4,0,0
47,2,0,1
42,5,1,2
37,0,2,0
30,8,0,1
41,2,0,0
37,2,0,0
43,3,0,0
29,2,1,0
41,5,0,0
43,4,3,0
31,0,3,1
36,3,1,0
35,1,0,0
33,0,9,1
